Athlete,Time,School,Course,Year
Madi Heinrichs,20:29.9,Temperance Bedford,Indian Creek,2020
Katelyn Dec,20:42.0,Temperance Bedford,Indian Creek,2020
Mya Orner,20:45.3,Temperance Bedford,Indian Creek,2020
Bridgette Dudley,20:47.4,Monroe,Indian Creek,2020
Anna Dudek,21:04.5,Ann Arbor Pioneer,Indian Creek,2020
Izzy Loubser,21:07.4,Temperance Bedford,Indian Creek,2020
Morgan Kay,21:17.5,Monroe,Indian Creek,2020
Grace Bogdanski,21:25.8,Ypsilanti Lincoln,Indian Creek,2020
Maya Goncalves,21:34.2,Ypsilanti Lincoln,Indian Creek,2020
Melanie Macias,21:35.8,Ypsilanti Lincoln,Indian Creek,2020
Caroline Stone,21:36.8,Ypsilanti Lincoln,Indian Creek,2020
Karly Bundon,21:49.5,Monroe,Indian Creek,2020
Chloe Gunter,21:54.8,Monroe,Indian Creek,2020
Grace Finley,22:00.6,Monroe,Indian Creek,2020
Meagan Dougherty,22:05.6,Ypsilanti Lincoln,Indian Creek,2020
Faith Butler,22:16.2,Monroe,Indian Creek,2020
Jasmine Wisniewski,23:30.6,Ypsilanti Lincoln,Indian Creek,2020
